x,y,z,vx,vy,vz
177.099945,177.099945,177.099945,1.000104,1.000104,1.000104
178.099945,178.099945,178.099945,1.000103,1.000103,1.000103
179.099945,179.099945,179.099945,1.000103,1.000103,1.000103
180.099945,180.099945,180.099945,1.000101,1.000101,1.000101
181.099945,181.099945,181.099945,1.000101,1.000101,1.000101
182.099945,182.099945,182.099945,1.000100,1.000100,1.000100
183.099945,183.099945,183.099945,1.000100,1.000100,1.000100
184.099945,184.099945,184.099945,1.000099,1.000099,1.000099
185.099945,185.099945,185.099945,1.000099,1.000099,1.000099
186.099945,186.099945,186.099945,1.000098,1.000098,1.000098
187.099945,187.099945,187.099945,1.000098,1.000098,1.000098
188.099945,188.099945,188.099945,1.000098,1.000098,1.000098
189.099945,189.099945,189.099945,1.000097,1.000097,1.000097
190.099945,190.099945,190.099945,1.000097,1.000097,1.000097
191.099945,191.099945,191.099945,1.000095,1.000095,1.000095
192.099945,192.099945,192.099945,1.000095,1.000095,1.000095
193.099945,193.099945,193.099945,1.000094,1.000094,1.000094
194.099945,194.099945,194.099945,1.000094,1.000094,1.000094
195.099945,195.099945,195.099945,1.000093,1.000093,1.000093
196.099945,196.099945,196.099945,1.000093,1.000093,1.000093
197.099945,197.099945,197.099945,1.000093,1.000093,1.000093
198.099945,198.099945,198.099945,1.000092,1.000092,1.000092
199.099945,199.099945,199.099945,1.000092,1.000092,1.000092
200.099945,200.099945,200.099945,1.000091,1.000091,1.000091
201.099945,201.099945,201.099945,1.000091,1.000091,1.000091
202.099945,202.099945,202.099945,1.000091,1.000091,1.000091
203.099945,203.099945,203.099945,1.000089,1.000089,1.000089
204.099945,204.099945,204.099945,1.000089,1.000089,1.000089
205.099945,205.099945,205.099945,1.000088,1.000088,1.000088
206.099945,206.099945,206.099945,1.000088,1.000088,1.000088
207.099945,207.099945,207.099945,1.000088,1.000088,1.000088
208.099945,208.099945,208.099945,1.000087,1.000087,1.000087
209.099945,209.099945,209.099945,1.000087,1.000087,1.000087
210.099945,210.099945,210.099945,1.000087,1.000087,1.000087
211.099945,211.099945,211.099945,1.000086,1.000086,1.000086
212.099945,212.099945,212.099945,1.000086,1.000086,1.000086
213.099945,213.099945,213.099945,1.000085,1.000085,1.000085
214.099945,214.099945,214.099945,1.000085,1.000085,1.000085
215.099945,215.099945,215.099945,1.000085,1.000085,1.000085
216.099945,216.099945,216.099945,1.000083,1.000083,1.000083
217.099945,217.099945,217.099945,1.000083,1.000083,1.000083
218.099945,218.099945,218.099945,1.000083,1.000083,1.000083
219.099945,219.099945,219.099945,1.000082,1.000082,1.000082
220.099945,220.099945,220.099945,1.000082,1.000082,1.000082
221.099945,221.099945,221.099945,1.000082,1.000082,1.000082
222.099945,222.099945,222.099945,1.000081,1.000081,1.000081
223.099945,223.099945,223.099945,1.000081,1.000081,1.000081
224.099945,224.099945,224.099945,1.000081,1.000081,1.000081
225.099945,225.099945,225.099945,1.000080,1.000080,1.000080
226.099945,226.099945,226.099945,1.000080,1.000080,1.000080
227.099945,227.099945,227.099945,1.000080,1.000080,1.000080
228.099945,228.099945,228.099945,1.000079,1.000079,1.000079
229.099945,229.099945,229.099945,1.000079,1.000079,1.000079
230.099945,230.099945,230.099945,1.000079,1.000079,1.000079
231.099945,231.099945,231.099945,1.000079,1.000079,1.000079
232.099945,232.099945,232.099945,1.000077,1.000077,1.000077
233.099945,233.099945,233.099945,1.000077,1.000077,1.000077
234.099945,234.099945,234.099945,1.000077,1.000077,1.000077
235.099945,235.099945,235.099945,1.000076,1.000076,1.000076
236.099945,236.099945,236.099945,1.000076,1.000076,1.000076
237.099945,237.099945,237.099945,1.000076,1.000076,1.000076
238.099945,238.099945,238.099945,1.000076,1.000076,1.000076
239.099945,239.099945,239.099945,1.000075,1.000075,1.000075
240.099945,240.099945,240.099945,1.000075,1.000075,1.000075
241.099945,241.099945,241.099945,1.000075,1.000075,1.000075
242.099945,242.099945,242.099945,1.000074,1.000074,1.000074
243.099945,243.099945,243.099945,1.000074,1.000074,1.000074
244.099945,244.099945,244.099945,1.000074,1.000074,1.000074
245.099945,245.099945,245.099945,1.000074,1.000074,1.000074
246.099945,246.099945,246.099945,1.000073,1.000073,1.000073
247.099945,247.099945,247.099945,1.000073,1.000073,1.000073
248.099945,248.099945,248.099945,1.000073,1.000073,1.000073
249.099945,249.099945,249.099945,1.000072,1.000072,1.000072
250.099945,250.099945,250.099945,1.000072,1.000072,1.000072
251.099945,251.099945,251.099945,1.000072,1.000072,1.000072
252.099945,252.099945,252.099945,1.000072,1.000072,1.000072
253.099945,253.099945,253.099945,1.000070,1.000070,1.000070
254.099945,254.099945,254.099945,1.000070,1.000070,1.000070
255.099945,255.099945,255.099945,1.000067,1.000067,1.000067
256.100098,256.100098,256.100098,1.000073,1.000073,1.000073
257.100098,257.100098,257.100098,1.000070,1.000070,1.000070
258.100098,258.100098,258.100098,1.000069,1.000069,1.000069
259.100098,259.100098,259.100098,1.000069,1.000069,1.000069
260.100098,260.100098,260.100098,1.000069,1.000069,1.000069
261.100098,261.100098,261.100098,1.000069,1.000069,1.000069
262.100098,262.100098,262.100098,1.000068,1.000068,1.000068
263.100098,263.100098,263.100098,1.000068,1.000068,1.000068
264.100098,264.100098,264.100098,1.000068,1.000068,1.000068
265.100098,265.100098,265.100098,1.000068,1.000068,1.000068
266.100098,266.100098,266.100098,1.000067,1.000067,1.000067
267.100098,267.100098,267.100098,1.000067,1.000067,1.000067
268.100098,268.100098,268.100098,1.000067,1.000067,1.000067
269.100098,269.100098,269.100098,1.000067,1.000067,1.000067
270.100098,270.100098,270.100098,1.000066,1.000066,1.000066
271.100098,271.100098,271.100098,1.000066,1.000066,1.000066
272.100098,272.100098,272.100098,1.000066,1.000066,1.000066
273.100098,273.100098,273.100098,1.000066,1.000066,1.000066
274.100098,274.100098,274.100098,1.000066,1.000066,1.000066
275.100098,275.100098,275.100098,1.000064,1.000064,1.000064
276.100098,276.100098,276.100098,1.000064,1.000064,1.000064
277.100098,277.100098,277.100098,1.000064,1.000064,1.000064
278.100098,278.100098,278.100098,1.000064,1.000064,1.000064
279.100098,279.100098,279.100098,1.000064,1.000064,1.000064
280.100098,280.100098,280.100098,1.000063,1.000063,1.000063
281.100098,281.100098,281.100098,1.000063,1.000063,1.000063
282.100098,282.100098,282.100098,1.000063,1.000063,1.000063
283.100098,283.100098,283.100098,1.000063,1.000063,1.000063
284.100098,284.100098,284.100098,1.000063,1.000063,1.000063
285.100098,285.100098,285.100098,1.000062,1.000062,1.000062
286.100098,286.100098,286.100098,1.000062,1.000062,1.000062
287.100098,287.100098,287.100098,1.000062,1.000062,1.000062
288.100098,288.100098,288.100098,1.000062,1.000062,1.000062
289.100098,289.100098,289.100098,1.000062,1.000062,1.000062
290.100098,290.100098,290.100098,1.000061,1.000061,1.000061
291.100098,291.100098,291.100098,1.000061,1.000061,1.000061
292.100098,292.100098,292.100098,1.000061,1.000061,1.000061
293.100098,293.100098,293.100098,1.000061,1.000061,1.000061
294.100098,294.100098,294.100098,1.000061,1.000061,1.000061
295.100098,295.100098,295.100098,1.000060,1.000060,1.000060
296.100098,296.100098,296.100098,1.000060,1.000060,1.000060
297.100098,297.100098,297.100098,1.000060,1.000060,1.000060
298.100098,298.100098,298.100098,1.000060,1.000060,1.000060
299.100098,299.100098,299.100098,1.000060,1.000060,1.000060
300.100098,300.100098,300.100098,1.000058,1.000058,1.000058
301.100098,301.100098,301.100098,1.000058,1.000058,1.000058
302.100098,302.100098,302.100098,1.000058,1.000058,1.000058
303.100098,303.100098,303.100098,1.000058,1.000058,1.000058
304.100098,304.100098,304.100098,1.000058,1.000058,1.000058
305.100098,305.100098,305.100098,1.000058,1.000058,1.000058
306.100098,306.100098,306.100098,1.000057,1.000057,1.000057
307.100098,307.100098,307.100098,1.000057,1.000057,1.000057
308.100098,308.100098,308.100098,1.000057,1.000057,1.000057
309.100098,309.100098,309.100098,1.000057,1.000057,1.000057
310.100098,310.100098,310.100098,1.000057,1.000057,1.000057
311.100098,311.100098,311.100098,1.000057,1.000057,1.000057
312.100098,312.100098,312.100098,1.000056,1.000056,1.000056
313.100098,313.100098,313.100098,1.000056,1.000056,1.000056
314.100098,314.100098,314.100098,1.000056,1.000056,1.000056
315.100098,315.100098,315.100098,1.000056,1.000056,1.000056
316.100098,316.100098,316.100098,1.000056,1.000056,1.000056
317.100098,317.100098,317.100098,1.000056,1.000056,1.000056
318.100098,318.100098,318.100098,1.000055,1.000055,1.000055
319.100098,319.100098,319.100098,1.000055,1.000055,1.000055
320.100098,320.100098,320.100098,1.000055,1.000055,1.000055
321.100098,321.100098,321.100098,1.000055,1.000055,1.000055
322.100098,322.100098,322.100098,1.000055,1.000055,1.000055
323.100098,323.100098,323.100098,1.000055,1.000055,1.000055
324.100098,324.100098,324.100098,1.000054,1.000054,1.000054
325.100098,325.100098,325.100098,1.000054,1.000054,1.000054
326.100098,326.100098,326.100098,1.000054,1.000054,1.000054
327.100098,327.100098,327.100098,1.000054,1.000054,1.000054
328.100098,328.100098,328.100098,1.000054,1.000054,1.000054
329.100098,329.100098,329.100098,1.000054,1.000054,1.000054
330.100098,330.100098,330.100098,1.000054,1.000054,1.000054
331.100098,331.100098,331.100098,1.000052,1.000052,1.000052
332.100098,332.100098,332.100098,1.000052,1.000052,1.000052
333.100098,333.100098,333.100098,1.000052,1.000052,1.000052
334.100098,334.100098,334.100098,1.000052,1.000052,1.000052
335.100098,335.100098,335.100098,1.000052,1.000052,1.000052
